"","id","pop"
"662","HG01468","CLM"
"663","HG01471","CLM"
"664","HG01473","CLM"
"665","HG01474","CLM"
"666","HG01477","CLM"
"667","HG01479","CLM"
"668","HG01480","CLM"
"669","HG01481","CLM"
"670","HG01482","CLM"
"671","HG01483","CLM"
"672","HG01484","CLM"
"673","HG01485","CLM"
"674","HG01486","CLM"
"675","HG01487","CLM"
"676","HG01488","CLM"
"677","HG01489","CLM"
"678","HG01490","CLM"
"679","HG01491","CLM"
"680","HG01492","CLM"
"681","HG01493","CLM"
"682","HG01494","CLM"
"683","HG01495","CLM"
"684","HG01496","CLM"
"685","HG01497","CLM"
"686","HG01498","CLM"
"687","HG01499","CLM"
"688","HG01500","IBS"
"689","HG01501","IBS"
"690","HG01502","IBS"
"691","HG01503","IBS"
"692","HG01504","IBS"
"693","HG01505","IBS"
"694","HG01506","IBS"
"695","HG01507","IBS"
"696","HG01508","IBS"
"697","HG01509","IBS"
"698","HG01510","IBS"
"699","HG01511","IBS"
"700","HG01512","IBS"
"701","HG01513","IBS"
"702","HG01514","IBS"
"703","HG01515","IBS"
"704","HG01516","IBS"
"705","HG01517","IBS"
"706","HG01518","IBS"
"707","HG01519","IBS"
"708","HG01520","IBS"
"709","HG01521","IBS"
"710","HG01522","IBS"
"711","HG01523","IBS"
"712","HG01524","IBS"
"713","HG01525","IBS"
"714","HG01526","IBS"
"715","HG01527","IBS"
"716","HG01528","IBS"
"717","HG01529","IBS"
"718","HG01530","IBS"
"719","HG01531","IBS"
"720","HG01532","IBS"
"721","HG01536","IBS"
"722","HG01537","IBS"
"723","HG01538","IBS"
"724","HG01550","CLM"
"725","HG01551","CLM"
"726","HG01552","CLM"
"727","HG01556","CLM"
"728","HG01565","PEL"
"729","HG01566","PEL"
"730","HG01567","PEL"
"731","HG01571","PEL"
"732","HG01572","PEL"
"733","HG01573","PEL"
"734","HG01577","PEL"
"735","HG01578","PEL"
"736","HG01579","PEL"
"737","HG01583","PJL"
"738","HG01586","PJL"
"739","HG01589","PJL"
"740","HG01590","PJL"
"741","HG01593","PJL"
"742","HG01594","PJL"
"743","HG01595","KHV"
"744","HG01596","KHV"
"745","HG01597","KHV"
"746","HG01598","KHV"
"747","HG01599","KHV"
"748","HG01600","KHV"
"749","HG01601","IBS"
"750","HG01602","IBS"
"751","HG01603","IBS"
"752","HG01604","IBS"
"753","HG01605","IBS"
"754","HG01606","IBS"
"755","HG01607","IBS"
"756","HG01608","IBS"
"757","HG01609","IBS"
"758","HG01610","IBS"
"759","HG01611","IBS"
"760","HG01612","IBS"
"761","HG01613","IBS"
"762","HG01614","IBS"
"763","HG01615","IBS"
"764","HG01616","IBS"
"765","HG01617","IBS"
"766","HG01618","IBS"
"767","HG01619","IBS"
"768","HG01620","IBS"
"769","HG01621","IBS"
"770","HG01622","IBS"
"771","HG01623","IBS"
"772","HG01624","IBS"
"773","HG01625","IBS"
"774","HG01626","IBS"
"775","HG01627","IBS"
"776","HG01628","IBS"
"777","HG01629","IBS"
"778","HG01630","IBS"
"779","HG01631","IBS"
"780","HG01632","IBS"
"781","HG01633","IBS"
"782","HG01667","IBS"
"783","HG01668","IBS"
"784","HG01669","IBS"
"785","HG01670","IBS"
"786","HG01671","IBS"
